iter	Passed	Remaining
0	93	93223
1	121	60410
2	153	50876
3	183	45741
4	210	41818
5	239	39611
6	266	37850
7	293	36441
8	323	35657
9	354	35135
10	385	34682
11	435	35846
12	466	35444
13	495	34891
14	521	34226
15	545	33557
16	569	32954
17	598	32639
18	625	32283
19	650	31853
20	674	31461
21	702	31210
22	729	30971
23	755	30740
24	785	30620
25	811	30413
26	837	30182
27	863	29966
28	890	29806
29	918	29695
30	947	29620
31	973	29457
32	1000	29321
33	1028	29232
34	1061	29260
35	1084	29040
36	1109	28872
37	1137	28806
38	1167	28775
39	1199	28794
40	1232	28836
41	1260	28756
42	1289	28697
43	1317	28616
44	1375	29190
45	1402	29094
46	1436	29126
47	1461	28978
48	1488	28897
49	1513	28753
50	1542	28702
51	1567	28575
52	1593	28472
53	1621	28399
54	1647	28306
55	1673	28207
56	1698	28096
57	1722	27975
58	1748	27889
59	1776	27830
60	1801	27738
61	1829	27679
62	1853	27572
63	1883	27542
64	1907	27439
65	1934	27377
66	1962	27328
67	1983	27191
68	2007	27086
69	2033	27015
70	2058	26932
71	2083	26857
72	2118	26896
73	2138	26754
74	2160	26647
75	2192	26654
76	2218	26593
77	2244	26531
78	2271	26479
79	2292	26366
80	2316	26287
81	2339	26189
82	2362	26102
83	2413	26321
84	2444	26315
85	2466	26212
86	2492	26159
87	2517	26087
88	2542	26021
89	2565	25939
90	2585	25822
91	2607	25738
92	2630	25653
93	2651	25558
94	2672	25463
95	2702	25448
96	2727	25393
97	2756	25367
98	2778	25285
99	2798	25190
100	2826	25156
101	2854	25128
102	2878	25068
103	2899	24976
104	2920	24895
105	2942	24813
106	2969	24780
107	2994	24729
108	3016	24659
109	3044	24630
110	3066	24556
111	3086	24469
112	3111	24420
113	3130	24332
114	3155	24285
115	3178	24224
116	3201	24162
117	3229	24141
118	3256	24108
119	3283	24078
120	3311	24052
121	3332	23982
122	3354	23918
123	3374	23842
124	3399	23797
125	3422	23743
126	3449	23708
127	3476	23686
128	3499	23626
129	3518	23543
130	3544	23513
131	3575	23509
132	3604	23499
133	3625	23428
134	3647	23371
135	3671	23327
136	3696	23284
137	3720	23241
138	3743	23191
139	3768	23150
140	3796	23131
141	3820	23084
142	3842	23025
143	3865	22980
144	3886	22916
145	3912	22883
146	3940	22863
147	3966	22834
148	3987	22773
149	4009	22719
150	4028	22652
151	4059	22647
152	4082	22601
153	4105	22552
154	4126	22497
155	4150	22456
156	4174	22416
157	4198	22371
158	4220	22322
159	4243	22277
160	4266	22233
161	4288	22186
162	4312	22145
163	4335	22100
164	4357	22051
165	4376	21989
166	4401	21954
167	4417	21878
168	4442	21843
169	4468	21814
170	4493	21786
171	4519	21758
172	4542	21715
173	4563	21661
174	4586	21621
175	4604	21555
176	4628	21522
177	4653	21488
178	4681	21471
179	4705	21436
180	4732	21413
181	4757	21382
182	4780	21343
183	4807	21318
184	4831	21284
185	4856	21254
186	4877	21203
187	4902	21174
188	4927	21143
189	4948	21097
190	4991	21140
191	5025	21148
192	5042	21085
193	5064	21040
194	5087	21000
195	5106	20948
196	5126	20897
197	5146	20846
198	5168	20804
199	5194	20776
200	5212	20718
201	5235	20681
202	5257	20641
203	5279	20599
204	5304	20572
205	5329	20540
206	5355	20518
207	5377	20475
208	5397	20427
209	5419	20387
210	5447	20368
211	5481	20373
212	5509	20356
213	5530	20311
214	5560	20303
215	5580	20256
216	5605	20227
217	5624	20174
218	5653	20159
219	5673	20114
220	5694	20071
221	5720	20047
222	5744	20014
223	5769	19988
224	5794	19959
225	5817	19924
226	5838	19881
227	5860	19842
228	5881	19802
229	5906	19772
230	5928	19735
231	5953	19708
232	5977	19677
233	6021	19712
234	6047	19686
235	6067	19642
236	6086	19593
237	6107	19553
238	6136	19540
239	6158	19502
240	6181	19468
241	6199	19418
242	6222	19384
243	6243	19345
244	6268	19318
245	6292	19285
246	6316	19257
247	6343	19233
248	6359	19180
249	6388	19165
250	6410	19128
251	6437	19106
252	6476	19122
253	6498	19085
254	6516	19037
255	6536	18997
256	6558	18961
257	6579	18922
258	6598	18877
259	6627	18862
260	6652	18837
261	6680	18817
262	6700	18775
263	6731	18765
264	6770	18777
265	6801	18767
266	6823	18733
267	6850	18710
268	6878	18692
269	6907	18676
270	6929	18641
271	6949	18600
272	6971	18564
273	6991	18525
274	7017	18500
275	7045	18482
276	7066	18443
277	7084	18399
278	7111	18377
279	7131	18338
280	7155	18308
281	7175	18269
282	7197	18235
283	7216	18193
284	7243	18172
285	7263	18133
286	7281	18088
287	7304	18059
288	7327	18027
289	7355	18007
290	7375	17968
291	7397	17935
292	7421	17907
293	7444	17877
294	7472	17857
295	7492	17820
296	7515	17790
297	7538	17757
298	7565	17738
299	7591	17713
300	7615	17685
301	7643	17665
302	7674	17652
303	7701	17631
304	7719	17590
305	7742	17559
306	7765	17529
307	7791	17505
308	7813	17473
309	7835	17439
310	7864	17423
311	7887	17393
312	7913	17368
313	7940	17348
314	7963	17317
315	7991	17298
316	8010	17258
317	8033	17229
318	8056	17199
319	8080	17170
320	8103	17141
321	8131	17120
322	8155	17093
323	8186	17081
324	8210	17052
325	8240	17036
326	8269	17018
327	8295	16995
328	8316	16961
329	8336	16925
330	8354	16886
331	8372	16845
332	8399	16824
333	8424	16798
334	8447	16767
335	8469	16736
336	8489	16701
337	8517	16681
338	8544	16661
339	8569	16634
340	8597	16614
341	8615	16576
342	8637	16545
343	8661	16517
344	8697	16513
345	8725	16492
346	8755	16476
347	8791	16470
348	8817	16447
349	8838	16414
350	8865	16391
351	8895	16375
352	8913	16336
353	8932	16301
354	8956	16272
355	8980	16246
356	8998	16208
357	9022	16180
358	9043	16147
359	9065	16116
360	9083	16079
361	9107	16050
362	9127	16016
363	9149	15986
364	9176	15964
365	9202	15941
366	9226	15914
367	9255	15894
368	9278	15866
369	9302	15839
370	9330	15819
371	9351	15786
372	9371	15754
373	9412	15754
374	9441	15735
375	9464	15706
376	9489	15681
377	9533	15687
378	9562	15668
379	9583	15635
380	9605	15606
381	9624	15571
382	9644	15537
383	9666	15506
384	9694	15485
385	9712	15450
386	9730	15412
387	9759	15393
388	9779	15360
389	9810	15344
390	9843	15331
391	9861	15296
392	9883	15265
393	9901	15228
394	9923	15200
395	9954	15183
396	9970	15144
397	9991	15112
398	10012	15081
399	10036	15055
400	10063	15031
401	10083	15000
402	10104	14969
403	10129	14943
404	10160	14927
405	10195	14915
406	10220	14891
407	10253	14877
408	10280	14854
409	10308	14833
410	10334	14810
411	10355	14779
412	10383	14758
413	10407	14731
414	10429	14701
415	10458	14681
416	10480	14652
417	10511	14636
418	10541	14617
419	10565	14590
420	10591	14566
421	10619	14544
422	10642	14517
423	10673	14499
424	10705	14483
425	10729	14456
426	10747	14422
427	10772	14396
428	10796	14370
429	10819	14342
430	10850	14324
431	10872	14295
432	10899	14273
433	10919	14241
434	10944	14215
435	10967	14187
436	10991	14160
437	11015	14133
438	11038	14106
439	11063	14080
440	11086	14053
441	11109	14025
442	11132	13997
443	11153	13967
444	11176	13939
445	11199	13911
446	11219	13879
447	11246	13857
448	11264	13823
449	11287	13795
450	11313	13772
451	11337	13745
452	11365	13724
453	11390	13699
454	11418	13676
455	11443	13651
456	11467	13625
457	11495	13603
458	11519	13577
459	11540	13547
460	11563	13519
461	11587	13493
462	11611	13467
463	11629	13434
464	11659	13414
465	11684	13390
466	11711	13366
467	11734	13338
468	11756	13310
469	11777	13280
470	11801	13254
471	11834	13238
472	11861	13215
473	11885	13189
474	11912	13166
475	11931	13134
476	11955	13108
477	11975	13077
478	11996	13048
479	12015	13017
480	12042	12993
481	12059	12960
482	12085	12936
483	12118	12919
484	12142	12893
485	12166	12867
486	12192	12843
487	12214	12815
488	12240	12791
489	12267	12768
490	12290	12741
491	12313	12713
492	12334	12685
493	12354	12655
494	12378	12628
495	12401	12601
496	12430	12580
497	12446	12546
498	12471	12521
499	12493	12493
500	12519	12469
501	12542	12442
502	12566	12416
503	12591	12391
504	12613	12363
505	12628	12329
506	12655	12305
507	12712	12312
508	12737	12287
509	12766	12266
510	12793	12242
511	12815	12214
512	12841	12190
513	12864	12164
514	12885	12135
515	12905	12105
516	12932	12082
517	12958	12057
518	12985	12034
519	13005	12005
520	13026	11976
521	13046	11946
522	13064	11915
523	13085	11886
524	13110	11862
525	13128	11830
526	13156	11808
527	13175	11778
528	13198	11751
529	13220	11723
530	13238	11692
531	13259	11664
532	13279	11635
533	13307	11612
534	13334	11589
535	13360	11565
536	13384	11540
537	13404	11511
538	13429	11486
539	13459	11465
540	13479	11436
541	13500	11408
542	13520	11378
543	13543	11352
544	13570	11329
545	13593	11303
546	13613	11274
547	13632	11244
548	13653	11216
549	13675	11189
550	13700	11164
551	13728	11141
552	13749	11114
553	13767	11083
554	13787	11054
555	13812	11029
556	13832	11001
557	13857	10976
558	13880	10950
559	13903	10923
560	13925	10897
561	13950	10872
562	13971	10844
563	13994	10818
564	14020	10794
565	14045	10769
566	14090	10760
567	14107	10729
568	14129	10702
569	14146	10671
570	14166	10643
571	14190	10618
572	14211	10590
573	14236	10565
574	14257	10537
575	14287	10517
576	14306	10488
577	14325	10458
578	14355	10438
579	14377	10411
580	14396	10382
581	14419	10356
582	14444	10331
583	14471	10308
584	14499	10286
585	14522	10259
586	14553	10239
587	14574	10212
588	14596	10185
589	14616	10157
590	14639	10131
591	14664	10106
592	14690	10082
593	14713	10056
594	14736	10030
595	14757	10003
596	14773	9973
597	14801	9950
598	14823	9923
599	14847	9898
600	14867	9870
601	14892	9846
602	14907	9815
603	14933	9790
604	14962	9769
605	14984	9742
606	15008	9716
607	15029	9689
608	15047	9661
609	15068	9633
610	15096	9611
611	15118	9584
612	15143	9560
613	15166	9534
614	15193	9511
615	15223	9490
616	15244	9462
617	15265	9435
618	15289	9411
619	15307	9381
620	15329	9355
621	15355	9331
622	15375	9304
623	15396	9277
624	15421	9252
625	15446	9228
626	15462	9198
627	15485	9172
628	15507	9146
629	15547	9130
630	15573	9107
631	15597	9081
632	15616	9054
633	15642	9030
634	15669	9007
635	15697	8983
636	15716	8956
637	15739	8930
638	15758	8902
639	15779	8876
640	15801	8850
641	15827	8825
642	15851	8801
643	15873	8774
644	15896	8748
645	15919	8723
646	15941	8697
647	15963	8671
648	15991	8648
649	16014	8623
650	16035	8596
651	16054	8569
652	16078	8544
653	16103	8519
654	16126	8493
655	16149	8468
656	16173	8443
657	16207	8424
658	16229	8398
659	16248	8370
660	16269	8343
661	16290	8317
662	16315	8293
663	16340	8268
664	16365	8244
665	16385	8217
666	16412	8194
667	16431	8166
668	16448	8138
669	16467	8111
670	16497	8088
671	16521	8063
672	16544	8038
673	16567	8013
674	16587	7986
675	16607	7959
676	16630	7934
677	16651	7908
678	16673	7882
679	16696	7857
680	16713	7829
681	16739	7805
682	16759	7778
683	16783	7753
684	16806	7728
685	16830	7703
686	16850	7677
687	16876	7653
688	16901	7628
689	16925	7604
690	16950	7579
691	16980	7557
692	17000	7531
693	17024	7506
694	17059	7486
695	17082	7461
696	17107	7437
697	17124	7409
698	17145	7383
699	17165	7356
700	17183	7329
701	17212	7306
702	17231	7280
703	17258	7256
704	17284	7232
705	17308	7207
706	17332	7182
707	17357	7158
708	17377	7132
709	17399	7106
710	17421	7081
711	17442	7055
712	17464	7030
713	17486	7004
714	17505	6977
715	17532	6954
716	17554	6928
717	17574	6902
718	17598	6877
719	17620	6852
720	17641	6826
721	17665	6801
722	17688	6777
723	17714	6752
724	17733	6726
725	17758	6702
726	17784	6678
727	17805	6652
728	17830	6628
729	17849	6601
730	17873	6577
731	17889	6549
732	17914	6525
733	17937	6500
734	17962	6476
735	17983	6450
736	18004	6424
737	18024	6398
738	18053	6376
739	18081	6352
740	18103	6327
741	18127	6303
742	18153	6279
743	18173	6253
744	18198	6228
745	18219	6203
746	18243	6178
747	18262	6152
748	18291	6129
749	18311	6103
750	18330	6077
751	18353	6052
752	18376	6028
753	18397	6002
754	18422	5978
755	18443	5952
756	18466	5927
757	18490	5903
758	18511	5877
759	18532	5852
760	18557	5828
761	18575	5801
762	18614	5782
763	18637	5757
764	18662	5732
765	18684	5707
766	18702	5681
767	18722	5655
768	18743	5630
769	18764	5604
770	18785	5579
771	18808	5554
772	18835	5531
773	18860	5506
774	18882	5482
775	18904	5456
776	18933	5434
777	18958	5409
778	18982	5385
779	19005	5360
780	19031	5336
781	19050	5310
782	19071	5285
783	19097	5261
784	19125	5238
785	19143	5211
786	19172	5188
787	19195	5164
788	19216	5138
789	19239	5114
790	19269	5091
791	19292	5066
792	19320	5043
793	19340	5017
794	19365	4993
795	19388	4968
796	19412	4944
797	19436	4919
798	19458	4895
799	19484	4871
800	19505	4845
801	19529	4821
802	19550	4796
803	19573	4771
804	19594	4746
805	19615	4721
806	19637	4696
807	19662	4672
808	19683	4647
809	19707	4622
810	19729	4597
811	19755	4573
812	19776	4548
813	19797	4523
814	19818	4498
815	19841	4474
816	19867	4450
817	19887	4424
818	19907	4399
819	19927	4374
820	19946	4348
821	19970	4324
822	19993	4300
823	20019	4275
824	20037	4250
825	20058	4225
826	20085	4201
827	20107	4176
828	20129	4152
829	20151	4127
830	20174	4102
831	20192	4077
832	20217	4053
833	20238	4028
834	20261	4003
835	20282	3978
836	20307	3954
837	20331	3930
838	20350	3905
839	20390	3883
840	20414	3859
841	20434	3834
842	20459	3810
843	20480	3785
844	20497	3759
845	20520	3735
846	20546	3711
847	20572	3687
848	20593	3662
849	20618	3638
850	20636	3613
851	20660	3588
852	20679	3563
853	20703	3539
854	20733	3516
855	20765	3493
856	20785	3468
857	20807	3443
858	20828	3418
859	20849	3394
860	20875	3370
861	20902	3346
862	20928	3322
863	20955	3298
864	20977	3273
865	21000	3249
866	21027	3225
867	21045	3200
868	21066	3175
869	21086	3150
870	21110	3126
871	21135	3102
872	21158	3077
873	21181	3053
874	21208	3029
875	21231	3005
876	21255	2981
877	21280	2956
878	21305	2932
879	21329	2908
880	21353	2884
881	21373	2859
882	21396	2835
883	21421	2811
884	21443	2786
885	21470	2762
886	21498	2738
887	21523	2714
888	21548	2690
889	21574	2666
890	21602	2642
891	21630	2618
892	21653	2594
893	21677	2570
894	21697	2545
895	21724	2521
896	21752	2497
897	21776	2473
898	21798	2449
899	21819	2424
900	21839	2399
901	21861	2375
902	21880	2350
903	21899	2325
904	21921	2301
905	21945	2276
906	21967	2252
907	21990	2228
908	22013	2203
909	22039	2179
910	22068	2156
911	22094	2131
912	22115	2107
913	22140	2083
914	22163	2058
915	22187	2034
916	22210	2010
917	22231	1985
918	22252	1961
919	22273	1936
920	22296	1912
921	22316	1887
922	22341	1863
923	22366	1839
924	22387	1815
925	22412	1791
926	22433	1766
927	22460	1742
928	22483	1718
929	22506	1694
930	22524	1669
931	22545	1644
932	22570	1620
933	22589	1596
934	22610	1571
935	22633	1547
936	22653	1523
937	22676	1498
938	22700	1474
939	22722	1450
940	22748	1426
941	22767	1401
942	22790	1377
943	22807	1353
944	22828	1328
945	22851	1304
